,SampleID,Env,Region,Contribution
C007,,Senior,Italy,0.46435285
C007,,Young,Italy,0.53564715
C024,,Senior,Italy,0.032280587
C024,,Young,Italy,0.96771944
K105,,Senior,Italy,0.51878047
K105,,Young,Italy,0.48121953
K119,,Senior,Italy,0.533299
K119,,Young,Italy,0.46670103
K124,,Senior,Italy,0.02892344
K124,,Young,Italy,0.97107655
K309,,Senior,Italy,0.5683175
K309,,Young,Italy,0.4316825
K316,,Senior,Italy,0.041984692
K316,,Young,Italy,0.9580153
SRR3679930,,Senior,Sichuan,0.387927
SRR3679930,,Young,Sichuan,0.61207306
SRR3679931,,Senior,Sichuan,0.41697124
SRR3679931,,Young,Sichuan,0.5830288
SRR3679945,,Senior,Sichuan,0.380405
SRR3679945,,Young,Sichuan,0.61959505
SRR3679976,,Senior,Sichuan,0.26598793
SRR3679976,,Young,Sichuan,0.734012
SRR3679985,,Senior,Sichuan,0.39452446
SRR3679985,,Young,Sichuan,0.6054756
SRR3680028,,Senior,Sichuan,0.5096589
SRR3680028,,Young,Sichuan,0.4903412
SRR3680039,,Senior,Sichuan,0.46471623
SRR3680039,,Young,Sichuan,0.5352838
SRR3680042,,Senior,Sichuan,0.57270795
SRR3680042,,Young,Sichuan,0.42729202
SRR3680045,,Senior,Sichuan,0.35560125
SRR3680045,,Young,Sichuan,0.64439875
SRR3680068,,Senior,Sichuan,0.35442615
SRR3680068,,Young,Sichuan,0.64557385
SRR3680080,,Senior,Sichuan,0.5680674
SRR3680080,,Young,Sichuan,0.43193263
