,root:Pupils,root:kindergarten,root:mid_age,root:mid_school,root:youth
TZX96,0.23525147,0.08834801,0.16589718,0.15890372,0.35159966
TZX97,0.12811495,0.3357246,0.17819244,0.05258499,0.30538303
TZX98,0.1368218,0.17272355,0.072440535,0.20565714,0.412357
TZX99,0.18704642,0.11083394,0.18908313,0.1362067,0.3768298
Q108,0.20903414,0.05818879,0.20204695,0.11188353,0.41884652
Q120,0.19892386,0.069143526,0.23482955,0.108216114,0.3888869
Q123,0.13519682,0.17972414,0.081371695,0.18158568,0.42212164
Q126,0.112892255,0.17764927,0.10185571,0.11638039,0.49122235
Q32,0.14204478,0.13393591,0.11324546,0.12940799,0.48136592
Q41,0.12793276,0.15723132,0.08687857,0.15308702,0.47487026
Q47,0.13770078,0.07526287,0.075811125,0.11139382,0.59983134
TQ034,0.1478665,0.11871679,0.07702006,0.16247576,0.4939209
TQ052,0.11881099,0.19620116,0.09266346,0.14448501,0.44783947
TQ060,0.14392246,0.120367594,0.09839689,0.1373691,0.49994397
TQ062,0.17594622,0.160842,0.06936178,0.25037724,0.34347272
TQ064,0.13237794,0.08825724,0.07965737,0.11863122,0.5810763
TQ083,0.16331847,0.110705845,0.10324438,0.14252469,0.4802067
TQ084,0.14979818,0.14181206,0.100218564,0.14762719,0.460544
TQ090,0.13338812,0.1963715,0.083710976,0.18241303,0.40411633
TQ1,0.19224136,0.0953624,0.41948783,0.064624675,0.22828373
TQ10,0.16095507,0.116421856,0.075611174,0.17508443,0.47192752
TQ100,0.11027332,0.11582431,0.08118439,0.115965664,0.5767523
TQ101,0.14593714,0.10073454,0.07436651,0.1441807,0.5347811
